what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330429453
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330430375
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271330431265
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330432625
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271330432625
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271330448203
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330460234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330465593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330468953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330470093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330471000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330471875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330486828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330487765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330727015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330759515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330761078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330811468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330880609
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271330896281
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271330896328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330898828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330907093
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1271330909187
opened,view,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui.DisassemblyView",1271330909250
