what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1271331071625
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271331072156
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271331076968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331086968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331088468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331103375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331165125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331206468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331215140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331218250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331530750
opened,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1271331532390
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1271331532437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331548718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331639328
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271331641078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271331641671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271332160125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271332160828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271332311500
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1271332327437
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271332340765
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271332342703
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1271332344296
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271332350921
