what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271326991828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271326993187
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1271326993250
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1271326993359
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1271326993359
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1271326993687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271326995859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271327007140
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1271327007218
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1271327007406
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1271327007468
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1271327016312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271327017515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271327022359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1271327022375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271327025734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271327026343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271327026875
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1271327034328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271327034437
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1271327039343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271327039500
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1271327039500
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1271327073781
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271327086781
