what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1290504251125
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1290504255093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504258000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504265625
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290504266171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504270156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504272890
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1290504272906
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1290504273437
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1290504273453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504282968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504302156
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290504303578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504306578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504363937
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290504366343
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1290504378359
started,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1290504378359
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1290504381078
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1290504381171
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.MemoryView",1290504381234
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.RegisterView",1290504381250
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.ModuleView",1290504381265
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.ExpressionView",1290504381296
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1290504382375
