what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1291102711421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1291102712250
