what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1290504135921
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290504135921
java.vm.version,sysinfo,,,"1.6.0_02-b05",1290504135921
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.BreakpointView",1290504140187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504141031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504142000
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290504143765
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1290504150015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504152843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504155281
opened,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290504157296
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290504157343
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1290504157984
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1290504158031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504165812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504210171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504212343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290504243328
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1290504243343
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290504245437
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1290504245437
opened,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1290504246546
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1290504246578
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1290504246593
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290504248328
