what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290512240921
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290512240921
opened,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290512241687
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290512241750
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290512242578
closed,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1290512242578
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1290512243453
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1290512244578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512248906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512249890
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1290512249906
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1290512249921
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290512252359
closed,editor,,,"org.eclipse.ui.systemInPlaceEditor",1290512252359
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1290512253000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512385421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512513343
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290512519703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512606687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290512662062
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290512664000
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1290512669734
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.MemoryView",1290512669812
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.RegisterView",1290512669828
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.ModuleView",1290512669843
