what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271329122921
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329123796
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329123828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329140359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329150921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329152640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329543875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329544671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329637453
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271329641375
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329641375
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329643140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329653500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329653500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329653625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329663156
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271329707093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329711703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329711703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329711781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329714953
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271329717218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329722328
error,log,,,"Variable references empty selection: ${project_loc}",1271329722328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329723343
