what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1266483192046
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1266483192046
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1266483192046
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1266483192062
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1266483192062
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1266483192062
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1266483192078
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1266483192078
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1266483192093
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1266483192093
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266483192093
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266483192109
os,sysinfo,,,"win32",1266483192109
arch,sysinfo,,,"x86",1266483192109
ws,sysinfo,,,"win32",1266483192109
locale,sysinfo,,,"bg_BG",1266483192109
processors,sysinfo,,,"2",1266483192109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266483192109
java.runtime.version,sysinfo,,,"1.6.0_02-b05",1266483192109
java.specification.name,sysinfo,,,"Java Platform API Specification",1266483192109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266483192109
java.specification.version,sysinfo,,,"1.6",1266483192109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266483192109
java.version,sysinfo,,,"1.6.0_02",1266483192109
java.vm.info,sysinfo,,,"mixed mode",1266483192109
