what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329723453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329740937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329749531
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271329753375
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271329754953
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271329756156
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271329776625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271329778890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330162203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330162734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330208593
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271330268046
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330268812
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271330273093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330278218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330278265
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330283718
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330283734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330377578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330381015
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271330381031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330388031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271330413890
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330428000
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271330428000
