what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1290514198750
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514204687
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290514399031
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.MemoryView",1290514400171
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.RegisterView",1290514400171
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.ModuleView",1290514400171
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514401312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290514402015
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514402859
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1290514404156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290514457734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290514932906
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290514933515
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514942625
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290514954375
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514955281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290514959812
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1290514960703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290514963468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290515198718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290515199875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290515201671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290515201750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1290515723453
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1290515724578
