what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1271320518125
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1271320518171
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1271320519062
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271320520953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320522765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320616171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320616203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320624187
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1271320625421
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1271320625593
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271320625609
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1271320627390
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1271320627390
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271320631453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320631812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320631921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271320635875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271320636625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271320637937
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1271320638562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320653703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271320656687
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1271320658281
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271320661718
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271320661734
